Index,Make,Model,City Mpg For Fuel Type1,Co2 Fuel Type1,Cylinders,Drive,Annual Fuel Cost For Fuel Type1,Fuel Type,Transmission,Vehicle Size Class,Year,ATV Type,Electric motor,baseModel,Price,cluster_label
37,Alfa Romeo,Giulia,17,436,6,Rear-Wheel Drive,3600,Premium,Automatic 8-spd,Midsize Cars,2024,Petrol,Not Electric,Giulia,"$45,950",1
38,GMC,Sierra 4WD AT4X,19,524,6,4-Wheel Drive,3650,Diesel,Automatic 10-spd,Standard Pickup Trucks 4WD,2024,Diesel,Not Electric,Sierra,"$66,100",0
39,Honda,Odyssey,19,394,6,Front-Wheel Drive,2650,Regular,Automatic (S10),Minivan - 2WD,2024,Petrol,Not Electric,Odyssey,"$39,733",0
40,Chevrolet,Blazer FWD,22,358,4,Front-Wheel Drive,2350,Regular,Automatic 9-spd,Small Sport Utility Vehicle 2WD,2024,Petrol,Not Electric,Blazer,"$35,400",3
41,Chevrolet,Blazer AWD,22,368,4,All-Wheel Drive,2400,Regular,Automatic 9-spd,Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Blazer,"$35,400",3
42,Genesis,Electrified GV70,98,0,0,All-Wheel Drive,800,Electricity,Automatic (A1),Small Sport Utility Vehicle 4WD,2024,EV,160 kW PMSM,GV70,"$66,450",2
43,MINI,Cooper SE Hardtop 2 door,119,0,0,Front-Wheel Drive,650,Electricity,Automatic (A1),Subcompact Cars,2024,EV,135 kW DCPM,Cooper,"$36,700",2
44,Polestar,2 Single Motor (19 Inch Wheels),124,0,0,Rear-Wheel Drive,600,Electricity,Automatic (A1),Midsize Cars,2024,EV,220 kW ACPM,2,"$49,900",2
45,Mercedes-Benz,AMG GT 43 4matic Plus,19,421,6,All-Wheel Drive,3400,Premium,Automatic 9-spd,Compact Cars,2024,Hybrid,48V Li-Ion,AMG GT,"$100,100",3
46,Volkswagen,Tiguan,23,345,4,Front-Wheel Drive,2250,Regular,Automatic (S8),Small Sport Utility Vehicle 2WD,2024,Petrol,Not Electric,Tiguan,"$30,305",1
47,Audi,Q3 S line quattro,20,384,4,All-Wheel Drive,2550,Regular,Automatic (S8),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Q3,"$38,595",1
48,Cadillac,Escalade V AWD,11,682,8,4-Wheel Drive,5500,Premium,Automatic (S10),Standard Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Escalade,"$152,295",3
49,Toyota,Sequoia 4WD,19,439,6,Part-time 4-Wheel Drive,2900,Regular,Automatic (S10),Standard Sport Utility Vehicle 4WD,2024,Hybrid,288V Ni-MH,Sequoia,"$64,349",0
50,Audi,e-tron GT,85,0,0,All-Wheel Drive,850,Electricity,Automatic (A2),Midsize Cars,2024,EV,175 kW PMSM 3-Phase,e-tron GT,"$107,995",2
51,Mercedes-Benz,GLS580 4matic,14,554,8,All-Wheel Drive,4500,Premium,Automatic 9-spd,Standard Sport Utility Vehicle 4WD,2024,Hybrid,48V Li-Ion,GLS-Class,"$91,251",3
52,Ram,1500 TRX 4WD,10,748,8,4-Wheel Drive,6000,Premium,Automatic 8-spd,Standard Pickup Trucks 4WD,2024,Petrol,Not Electric,1500,"$102,425",3
53,Kia,Soul,27,302,4,Front-Wheel Drive,1950,Regular,Automatic (variable gear ratios),Small Station Wagons,2024,Petrol,Not Electric,Soul,"$21,315",1
54,BMW,760i xDrive Sedan,18,427,8,All-Wheel Drive,3600,Premium,Automatic (S8),Large Cars,2024,Hybrid,44V Li-Ion,7 Series,"$97,395",3
55,Toyota,Grand Highlander Hybrid,37,246,4,Front-Wheel Drive,1600,Regular,Automatic (AV-S6),Standard Sport Utility Vehicle 2WD,2024,Hybrid,259V Li-Ion,Grand Highlander,"$54,390",0
56,Jaguar,F-Pace,22,376,4,All-Wheel Drive,3000,Premium,Automatic (S8),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,F-Pace,"$58,275",1
57,Cadillac,XT6 AWD,21,386,4,All-Wheel Drive,3100,Premium,Automatic (S9),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,XT6,"$50,190",3
58,Buick,Envista,28,296,3,Front-Wheel Drive,1950,Regular,Automatic 6-spd,Small Station Wagons,2024,Petrol,Not Electric,Envista,"$23,495",1
59,Volvo,S90 B6 AWD,22,347,4,All-Wheel Drive,2850,Premium,Automatic (S8),Midsize Cars,2024,Hybrid,46V Li-Ion,S90,"$59,495",3
60,Ford,Mustang,15,492,8,Rear-Wheel Drive,3250,Regular,Automatic (S10),Subcompact Cars,2024,Petrol,Not Electric,Mustang,"$32,515",1
61,Kia,Seltos FWD,28,288,4,Front-Wheel Drive,1900,Regular,Automatic (AV-S8),Small Sport Utility Vehicle 2WD,2024,Petrol,Not Electric,Seltos,"$20,190",3
62,BMW,M8 Competition Coupe,15,517,8,All-Wheel Drive,4200,Premium,Automatic (S8),Subcompact Cars,2024,Petrol,Not Electric,M,"$140,795",1
63,MINI,John Cooper Works Convertible,25,316,4,Front-Wheel Drive,2550,Premium,Automatic (S8),Minicompact Cars,2024,Petrol,Not Electric,John Cooper Works,"$64,642",1
64,Land Rover,Range Rover MHEV,16,477,8,4-Wheel Drive,3750,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2024,Hybrid,48V Li-Ion,Range Rover,"$108,875",3
65,BMW,i7 xDrive60 Sedan (19 inch wheels),87,0,0,4-Wheel Drive,800,Electricity,Automatic (A1),Large Cars,2024,EV,190 kW EESM,i7,"$130,450",2
66,BMW,840i Convertible,21,374,6,Rear-Wheel Drive,3000,Premium,Automatic (S8),Subcompact Cars,2024,Petrol,Not Electric,8 Series,"$90,395",1
67,Jeep,Wagoneer L 2WD,17,453,6,Rear-Wheel Drive,2900,Regular,Automatic 8-spd,Standard Sport Utility Vehicle 2WD,2024,Petrol,Not Electric,Wagoneer,"$104,951",3
68,Nissan,Pathfinder 4WD,21,379,6,4-Wheel Drive,2550,Regular,Automatic (S9),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Pathfinder,"$38,217",3
69,BMW,740i xDrive Sedan,24,326,6,All-Wheel Drive,2650,Premium,Automatic (S8),Large Cars,2024,Hybrid,44V Li-Ion,7 Series,"$97,395",3
70,Porsche,718 GT4 RS,15,544,6,Rear-Wheel Drive,4500,Premium,Automatic (AM-S7),Two Seaters,2024,Petrol,Not Electric,718,"$163,650",1
71,Porsche,718 Cayman,21,375,4,Rear-Wheel Drive,3000,Premium,Automatic (AM-S7),Two Seaters,2024,Petrol,Not Electric,718,"$69,950",1
72,Jaguar,I-Pace EV400 (20 inch tires),89,0,0,4-Wheel Drive,850,Electricity,Automatic (A1),Small Sport Utility Vehicle 4WD,2024,EV,147 kW PMSM,I-Pace,"$1,000",2
73,GMC,Hummer EV Pickup MT Tires,55,0,0,All-Wheel Drive,1300,Electricity,Automatic (A1),Standard Pickup Trucks 4WD,2024,EV,214 kW PMSM,Hummer EV,"$98,845",2
74,Jeep,Wrangler 2dr 4WD,17,462,6,4-Wheel Drive,3050,Regular,Manual 6-spd,Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Wrangler,"$31,895",3
75,BMW,X4 M,15,519,6,All-Wheel Drive,4200,Premium,Automatic (S8),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,X4,"$80,095",1
76,Kia,Niro,53,181,4,Front-Wheel Drive,1200,Regular,Automatic (AM-S6),Small Sport Utility Vehicle 2WD,2024,Hybrid,240V Li-Ion,Niro,"$30,212",0
77,Kia,Sportage FWD,25,315,4,Front-Wheel Drive,2100,Regular,Automatic (S8),Small Sport Utility Vehicle 2WD,2024,Petrol,Not Electric,Sportage,"$30,362",1
78,GMC,Sierra 4WD,15,546,8,4-Wheel Drive,3650,Regular,Automatic 10-spd,Standard Pickup Trucks 4WD,2024,Petrol,Not Electric,Sierra,"$45,662",3
79,Buick,Enclave FWD,18,433,6,Front-Wheel Drive,2750,Regular,Automatic 9-spd,Standard Sport Utility Vehicle 2WD,2024,Petrol,Not Electric,Enclave,"$45,295",3
80,Volvo,XC40 B5 AWD,24,338,4,All-Wheel Drive,2750,Premium,Automatic (S8),Small Sport Utility Vehicle 4WD,2024,Hybrid,46V Li-Ion,XC40,"$40,100 - $48,800",3
81,Maserati,Grecale Modena,22,351,4,All-Wheel Drive,2850,Premium,Automatic 8-spd,Small Sport Utility Vehicle 4WD,2024,Hybrid,48V Li-Ion,Grecale,"$69,995",3
82,Honda,CR-V FWD,28,290,4,Front-Wheel Drive,1950,Regular,Automatic (variable gear ratios),Small Sport Utility Vehicle 2WD,2024,Petrol,Not Electric,CR-V,"$30,850",1
83,Maserati,Quattroporte GT,16,453,6,Rear-Wheel Drive,3750,Premium,Automatic 8-spd,Large Cars,2024,Petrol,Not Electric,Quattroporte,"$140,995",1
84,Volkswagen,Atlas SE 4motion,19,407,4,All-Wheel Drive,2650,Regular,Automatic (S8),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Atlas,"$36,319",1
85,Chevrolet,Equinox AWD,24,339,4,All-Wheel Drive,2250,Regular,Automatic 6-spd,Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Equinox,"$27,995",1
86,Chevrolet,Equinox FWD,26,310,4,Front-Wheel Drive,2100,Regular,Automatic 6-spd,Small Sport Utility Vehicle 2WD,2024,Petrol,Not Electric,Equinox,"$27,995",1
87,Nissan,GT-R,16,493,6,All-Wheel Drive,4000,Premium,Automatic (AM-S6),Subcompact Cars,2024,Petrol,Not Electric,GT-R,"$120,990",3
88,Land Rover,Range Rover Evoque,20,398,4,All-Wheel Drive,3250,Premium,Automatic (S9),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Range Rover,"$51,075",3
89,BMW,M8 Competition Gran Coupe,15,517,8,All-Wheel Drive,4200,Premium,Automatic (S8),Midsize Cars,2024,Petrol,Not Electric,M,"$140,795",1
90,BMW,M4 Coupe,16,472,6,Rear-Wheel Drive,3750,Premium,Manual 6-spd,Subcompact Cars,2024,Petrol,Not Electric,M,"$79,095",1
91,MINI,Cooper S Clubman,25,307,4,Front-Wheel Drive,2450,Premium,Automatic (AM-S7),Midsize Cars,2024,Petrol,Not Electric,Clubman,"$35,045",1
92,Acura,Integra,30,269,4,Front-Wheel Drive,2150,Premium,Automatic (AV-S7),Large Cars,2024,Petrol,Not Electric,Integra,"$32,995",3
93,Land Rover,Defender 90,18,465,4,4-Wheel Drive,3750,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Defender,"$57,875",1
94,MINI,John Cooper Works Hardtop 2 door,26,299,4,Front-Wheel Drive,2450,Premium,Automatic (S8),Subcompact Cars,2024,Petrol,Not Electric,John Cooper Works,"$25,800",1
95,Audi,RS Q8,13,574,8,All-Wheel Drive,4800,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2024,Hybrid,48V Li-Ion,RS Q8,"$126,995",3
96,BMW,430i xDrive Gran Coupe,23,326,4,All-Wheel Drive,2650,Premium,Automatic (S8),Compact Cars,2024,Petrol,Not Electric,4 Series,"$72,050",1
97,Mazda,CX-5 4WD,22,370,4,4-Wheel Drive,2400,Regular,Automatic (S6),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,CX-5,"$30,477",3
98,Lexus,RX 500h AWD,27,320,4,All-Wheel Drive,2650,Premium,Automatic (AV-S6),Small Sport Utility Vehicle 4WD,2024,Hybrid,288V Ni-MH,RX,"$48,661",0
99,Honda,Civic 4Dr,30,266,4,Front-Wheel Drive,1750,Regular,Automatic (AV-S7),Midsize Cars,2024,Petrol,Not Electric,Civic,"$26,441",3
100,BMW,530i Sedan,27,292,4,Rear-Wheel Drive,2400,Premium,Automatic (S8),Midsize Cars,2024,Hybrid,46V Li-Ion,5 Series,"$60,408",3
101,Volkswagen,Jetta,30,263,4,Front-Wheel Drive,1700,Regular,Automatic (S8),Compact Cars,2024,Petrol,Not Electric,Jetta,"$21,435",1
102,Mercedes-Benz,AMG GT 53 4matic Plus,19,421,6,All-Wheel Drive,3400,Premium,Automatic 9-spd,Compact Cars,2024,Hybrid,48V Li-Ion,AMG GT,"$134,900",3
103,Hyundai,Ioniq 5 Standard range RWD,127,0,0,Rear-Wheel Drive,650,Electricity,Automatic (A1),Small Sport Utility Vehicle 2WD,2024,EV,125 kW PMSM,Ioniq 5,"$43,175",2
104,Hyundai,Ioniq 5 Long range RWD,132,0,0,Rear-Wheel Drive,600,Electricity,Automatic (A1),Small Sport Utility Vehicle 2WD,2024,EV,168 kW PMSM,Ioniq 5,"$43,175",2
105,Hyundai,Ioniq 6 Standard Range RWD,151,0,0,Rear-Wheel Drive,500,Electricity,Automatic (A1),Midsize Cars,2024,EV,111 kW PMSM,Ioniq 6,"$38,650",2
106,BMW,i4 xDrive40 Gran Coupe (18 inch Wheels),107,0,0,4-Wheel Drive,650,Electricity,Automatic (A1),Subcompact Cars,2024,EV,230 kW EESM,i4,"$53,195",2
107,Audi,Q4 Sportback 50 e-tron quattro,100,0,0,All-Wheel Drive,750,Electricity,Automatic (A1),Standard Sport Utility Vehicle 4WD,2024,EV,80 kW Asynchron 3-Phase,Q4 e-tron,"$50,995",2
108,Porsche,Cayenne S,15,521,8,All-Wheel Drive,4200,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Cayenne,"$80,850",1
109,Ram,1500 4WD,19,417,6,4-Wheel Drive,2750,Regular,Automatic 8-spd,Standard Pickup Trucks 4WD,2024,Hybrid,48V Li-Ion,1500,"$41,415",0
110,Rolls-Royce,Ghost,12,624,12,All-Wheel Drive,5100,Premium,Automatic (S8),Large Cars,2024,Petrol,Not Electric,Ghost,"$354,750",1
111,Ford,Mustang Dark Horse,14,524,8,Rear-Wheel Drive,3400,Regular,Automatic (S10),Subcompact Cars,2024,Petrol,Not Electric,Mustang,"$32,515",1
112,BMW,230i xDrive Coupe,25,314,4,All-Wheel Drive,2550,Premium,Automatic (S8),Subcompact Cars,2024,Petrol,Not Electric,2 Series,"$39,795",1
113,Buick,Enclave AWD,17,450,6,All-Wheel Drive,2900,Regular,Automatic 9-spd,Standard Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Enclave,"$45,295",1
114,Land Rover,Range Rover Velar,22,381,4,All-Wheel Drive,3100,Premium,Automatic (S8),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Range Rover,"$62,775",1
115,Genesis,G90 AWD,18,426,6,All-Wheel Drive,3400,Premium,Automatic (S8),Large Cars,2024,Petrol,Not Electric,G90,"$89,200",1
116,BMW,228i Gran Coupe,24,315,4,Front-Wheel Drive,2550,Premium,Automatic (S8),Compact Cars,2024,Petrol,Not Electric,2 Series,"$39,395",1
117,Lexus,LC 500h,26,304,6,Rear-Wheel Drive,2450,Premium,Automatic (AV-S10),Subcompact Cars,2024,Hybrid,311V Li-Ion,LC,"$99,800",0
118,Buick,Encore GX FWD,30,297,3,Front-Wheel Drive,1950,Regular,Automatic (variable gear ratios),Small Sport Utility Vehicle 2WD,2024,Petrol,Not Electric,Encore,"$26,895",1
119,MINI,Cooper Countryman,26,312,3,Front-Wheel Drive,2550,Premium,Automatic (AM-S7),Midsize Cars,2024,Petrol,Not Electric,Countryman,"$32,650",1
120,Maserati,Quattroporte Modena RWD,16,453,6,Rear-Wheel Drive,3750,Premium,Automatic 8-spd,Large Cars,2024,Petrol,Not Electric,Quattroporte,"$140,995",1
121,Audi,RS 3,19,388,5,All-Wheel Drive,3100,Premium,Automatic (AM-S7),Subcompact Cars,2024,Petrol,Not Electric,RS,"$63,395",1
122,BMW,X1 M35i,23,334,4,All-Wheel Drive,2750,Premium,Automatic (AM-S7),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,X1,"$41,495",3
123,Mercedes-Benz,GLE350,21,369,4,Rear-Wheel Drive,3000,Premium,Automatic 9-spd,Small Sport Utility Vehicle 4WD,2024,Hybrid,48V Li-Ion,GLE-Class,"$65,268",3
124,Kia,K5,27,293,4,Front-Wheel Drive,1900,Regular,Automatic (S8),Large Cars,2024,Petrol,Not Electric,K5,"$25,590",1
125,Jaguar,F-Type P450 AWD R-Dynamic Convertible,16,481,8,All-Wheel Drive,4000,Premium,Automatic (S8),Two Seaters,2024,Petrol,Not Electric,F-Type,"$79,175",1
126,Jaguar,F-Type P450 RWD Coupe,17,460,8,Rear-Wheel Drive,3750,Premium,Automatic (S8),Two Seaters,2024,Petrol,Not Electric,F-Type,"$79,175",1
127,Jeep,Grand Cherokee L 4WD,18,430,6,All-Wheel Drive,2750,Regular,Automatic 8-spd,Standard Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Grand Cherokee,"$41,830",3
128,Chrysler,Pacifica,19,401,6,Front-Wheel Drive,2650,Regular,Automatic 9-spd,Minivan - 2WD,2024,Petrol,Not Electric,Pacifica,"$41,249",3
129,Nissan,Titan 4WD PRO4X,14,546,8,Part-time 4-Wheel Drive,4500,Premium,Automatic (S9),Standard Pickup Trucks 4WD,2024,Petrol,Not Electric,Titan,"$46,567",0
130,GMC,Sierra 2WD,17,470,4,Rear-Wheel Drive,3050,Regular,Automatic 8-spd,Standard Pickup Trucks 2WD,2024,Petrol,Not Electric,Sierra,"$45,662",3
131,Honda,Civic 5Dr,31,258,4,Front-Wheel Drive,1650,Regular,Automatic (variable gear ratios),Large Cars,2024,Petrol,Not Electric,Civic,"$25,045",1
132,Toyota,Camry XLE/XSE,27,286,4,Front-Wheel Drive,1900,Regular,Automatic (S8),Midsize Cars,2024,Petrol,Not Electric,Camry,"$28,114",1
133,Mitsubishi,Outlander Sport 2WD,24,333,4,Front-Wheel Drive,2150,Regular,Automatic (AV-S6),Small Sport Utility Vehicle 2WD,2024,Petrol,Not Electric,Outlander,"$25,305",3
134,Audi,A6 quattro,22,359,6,All-Wheel Drive,2850,Premium,Automatic (AM-S7),Midsize Cars,2024,Hybrid,48V Li-Ion,A6,"$59,195",3
135,Porsche,718 Boxster GTS,19,418,6,Rear-Wheel Drive,3400,Premium,Automatic (AM-S7),Two Seaters,2024,Petrol,Not Electric,718,"$72,050",1
136,Lexus,RX 350,22,353,4,Front-Wheel Drive,2850,Premium,Automatic (S8),Small Sport Utility Vehicle 2WD,2024,Petrol,Not Electric,RX,"$48,600",1
137,Volvo,XC40 Recharge twin,106,0,0,All-Wheel Drive,700,Electricity,Automatic (A1),Small Sport Utility Vehicle 4WD,2024,EV,110 kW AC Induction,XC40,"$53,745",2
138,Toyota,Tundra 2WD,18,449,6,Rear-Wheel Drive,2900,Regular,Automatic (S10),Standard Pickup Trucks 2WD,2024,Petrol,Not Electric,Tundra,"$39,965",3
139,Jeep,Grand Cherokee 2WD,19,407,6,Rear-Wheel Drive,2650,Regular,Automatic 8-spd,Standard Sport Utility Vehicle 2WD,2024,Petrol,Not Electric,Grand Cherokee,"$39,830",3
140,Hyundai,Ioniq 6 Long range RWD (18 inch Wheels),153,0,0,Rear-Wheel Drive,500,Electricity,Automatic (A1),Midsize Cars,2024,EV,168 kW PMSM,Ioniq 6,"$38,650",2
141,Nissan,Murano FWD,20,388,6,Front-Wheel Drive,2550,Regular,Automatic (AV-S7),Midsize Station Wagons,2024,Petrol,Not Electric,Murano,"$39,580",0
142,Honda,Accord Hybrid,51,184,4,Front-Wheel Drive,1200,Regular,Automatic (variable gear ratios),Large Cars,2024,Hybrid,259V Li-Ion,Accord,"$28,990",3
143,BMW,X4 M40i,21,378,6,All-Wheel Drive,3100,Premium,Automatic (S8),Small Sport Utility Vehicle 4WD,2024,Hybrid,44V Li-Ion,X4,"$55,000",3
144,Porsche,718 Boxster,20,409,4,Rear-Wheel Drive,3250,Premium,Manual 6-spd,Two Seaters,2024,Petrol,Not Electric,718,"$72,050",1
145,Volkswagen,GTI,24,323,4,Front-Wheel Drive,2150,Regular,Automatic (AM-S7),Compact Cars,2024,Petrol,Not Electric,Golf/GTI,"$33,190",1
146,BMW,M340i xDrive Sedan,23,341,6,All-Wheel Drive,2750,Premium,Automatic (S8),Compact Cars,2024,Hybrid,44V Li-Ion,3 Series,"$60,195",3
147,Mercedes-Benz,AMG GLE63 S 4matic Plus Coupe,15,539,8,All-Wheel Drive,4500,Premium,Automatic 9-spd,Standard Sport Utility Vehicle 4WD,2024,Hybrid,48V Li-Ion,GLE-Class,"$87,900",3
148,Lexus,RX 350 AWD,21,371,4,All-Wheel Drive,3000,Premium,Automatic (S8),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,RX,"$1,600",1
149,Chrysler,Voyager,19,401,6,Front-Wheel Drive,2650,Regular,Automatic 9-spd,Minivan - 2WD,2024,Petrol,Not Electric,Voyager,"$11,653",3
150,Nissan,Titan 4WD,15,519,8,Part-time 4-Wheel Drive,4200,Premium,Automatic (S9),Standard Pickup Trucks 4WD,2024,Petrol,Not Electric,Titan,"$48,050",0
